trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
70,False,"{'a': 0.75, 'e': 0.027583690436774957}",25,8,23.69969797761679,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
71,False,"{'a': 0.75, 'e': 0.02620450591493621}",20,9,20.713264193966413,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
72,False,"{'a': 0.75, 'e': 0.0248942806191894}",25,14,19.609801377369372,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
73,False,"{'a': 0.75, 'e': 0.023649566588229927}",20,5,25.36518720490492,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
74,False,"{'a': 0.75, 'e': 0.022467088258818428}",20,0,29.097078902954305,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
75,False,"{'a': 0.75, 'e': 0.021343733845877507}",25,9,27.506017457523434,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
76,False,"{'a': 0.75, 'e': 0.02027654715358363}",30,13,16.175623140546563,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
77,False,"{'a': 0.75, 'e': 0.019262719795904448}",20,14,12.397114156607415,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
78,False,"{'a': 0.75, 'e': 0.018299583806109226}",25,11,26.85027134233485,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
79,False,"{'a': 0.75, 'e': 0.017384604615803764}",20,0,26.503355053632543,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
80,False,"{'a': 0.75, 'e': 0.016515374385013576}",25,13,18.72669519847651,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
81,False,"{'a': 0.75, 'e': 0.015689605665762895}",20,16,7.727911772550506,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
82,False,"{'a': 0.75, 'e': 0.01490512538247475}",20,14,9.480398609023279,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
83,False,"{'a': 0.75, 'e': 0.014159869113351011}",25,5,32.81778608911642,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
84,False,"{'a': 0.75, 'e': 0.01345187565768346}",30,11,30.465735315854314,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
85,False,"{'a': 0.75, 'e': 0.012779281874799287}",20,16,6.481927830096105,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
86,False,"{'a': 0.75, 'e': 0.012140317781059323}",20,11,18.985894227143785,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
87,False,"{'a': 0.75, 'e': 0.011533301892006355}",20,1,-66.39869121552995,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 2}",1
88,False,"{'a': 0.75, 'e': 0.010956636797406038}",20,6,22.10664287931998,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
89,False,"{'a': 0.75, 'e': 0.010408804957535735}",20,10,17.36933542149211,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
90,False,"{'a': 0.75, 'e': 0.009888364709658948}",25,19,-2.5079537280859796,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",20,10,13.70933962932215,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",25,17,13.190286888791833,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",25,16,16.606811727909033,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",20,13,12.547890522801945,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",25,10,24.87917837334762,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",25,12,27.22681361643245,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",25,13,21.305351276582755,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",20,9,20.299025604936116,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",20,2,29.79682949700343,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",25,7,29.987308464851814,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
